accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2015,70,Dry,Fine without high winds,Rural,Serious,6
2015,70,Dry,Fine without high winds,Urban,Serious,6
2016,70,Dry,Fine without high winds,Rural,Serious,17
2016,70,Dry,Fine without high winds,Urban,Serious,17
2017,70,Dry,Fine without high winds,Rural,Serious,11
2017,70,Dry,Fine without high winds,Urban,Serious,11
2018,70,Dry,Fine without high winds,Rural,Serious,31
2018,70,Dry,Fine without high winds,Urban,Serious,31
2019,70,Dry,Fine without high winds,Rural,Serious,26
2019,70,Dry,Fine without high winds,Urban,Serious,26
2020,70,Dry,Fine without high winds,Rural,Serious,9
2020,70,Dry,Fine without high winds,Urban,Serious,9
2021,70,Dry,Fine without high winds,Rural,Serious,11
2021,70,Dry,Fine without high winds,Urban,Serious,11
2022,70,Dry,Fine without high winds,Rural,Serious,11
2022,70,Dry,Fine without high winds,Urban,Serious,11
2023,70,Dry,Fine without high winds,Rural,Serious,39
2023,70,Dry,Fine without high winds,Urban,Serious,39
2018,20,Dry,Fog or mist - if hazard,Urban,Serious,2
2020,20,Dry,Fog or mist - if hazard,Rural,Serious,1
2020,20,Dry,Fog or mist - if hazard,Urban,Serious,1
2022,20,Dry,Fog or mist - if hazard,Rural,Serious,1
